label	message
spam	Confirme seus dados e receba R$500 de crédito imediato. http://credito-facil.net
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
spam	URGENTE: sua conta bancária será suspensa. Acesse agora: www.seguro123.com
ham	parece muito quieto. a beth está na casa da tia dela e o charlie está trabalhando muito.
ham	s s.. primeira vez.. dhoni arrasa...
ham	você grita e geme na cama, princesa?
ham	não consigo falar, porque o celular está com problema.
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
spam	Parabéns! Você foi selecionado para ganhar um iPhone 15. Clique aqui: www.premiohoje.com
spam	Confirme seus dados e receba R$500 de crédito imediato. http://credito-facil.net
spam	Seu CPF foi usado em uma compra de R$2.000. Conteste agora: 0800-999-000
ham	boa tarde, meu brinquedinho... como você está se sentindo hoje? melhor, espero?
spam	toques grátis, espero que você tenha gostado do seu novo conteúdo. envie 'parar' para 61610 para cancelar a inscrição. ajuda: 08712400602 450p fornecido por toques2you.co.uk
ham	espero que sua cabeça não doa muito!
spam	Clique no link abaixo para atualizar sua senha do WhatsApp: www.seguranca-wa.com
ham	Boa noite, dorme bem 😴
ham	legal, te mando uma mensagem em alguns minutos
ham	Preciso estudar muito pra prova de amanhã 😓
spam	Clique no link abaixo para atualizar sua senha do WhatsApp: www.seguranca-wa.com
ham	ai, discutimos depois... te pego às 16h, é isso?
ham	bom dia.
spam	Oi, aqui é da Caixa Econômica. Precisamos confirmar seus dados, responda imediatamente.
ham	moral: pode-se esquecer o nome de uma pessoa, mas não o da sua namorada... b o a n o i t e.
ham	sim, na casa do derek agora, te vejo no domingo <3
ham	Já almoçou? Tô pensando em pedir pizza hoje.
ham	* estou a caminho
ham	Vou passar aí mais tarde, tudo bem?
ham	reivindique 3030, válido por apenas 12 horas, 150ppm
ham	Vamos combinar de sair no sábado!
ham	simplesmente envie a senha 'mix' para 85069 para verificar. obtenha usher e britney. fml, caixa postal 5249, mk17 92h.
spam	URGENTE: sua conta bancária será suspensa. Acesse agora: www.seguro123.com
ham	me ensine sobre aplicativos. quando você vier para a faculdade.
ham	Oi mãe ❤️ chego em casa umas 19h, guarda comida pra mim?
ham	Acabei de chegar em casa, depois te ligo.
spam	Seu CPF foi usado em uma compra de R$2.000. Conteste agora: 0800-999-000
spam	Clique no link abaixo para atualizar sua senha do WhatsApp: www.seguranca-wa.com
ham	Bom dia! Como você está hoje?
ham	Preciso estudar muito pra prova de amanhã 😓
ham	Oi mãe ❤️ chego em casa umas 19h, guarda comida pra mim?
spam	Você ganhou 1 ano grátis de Netflix. Ative em: netflix-premium-gratis.com
ham	Pode me ajudar com a tarefa de matemática depois?
ham	Acabei de chegar em casa, depois te ligo.
ham	não, ainda estou na pista
ham	achei que tinha colocado de volta na caixa
ham	não sei, porque eu estava muito atrasado e quando cheguei eles já estavam lá dentro... mas comemos espaguete... são as garotas que estão rindo de mim...
ham	Vou passar aí mais tarde, tudo bem?
ham	Preciso estudar muito pra prova de amanhã 😓
ham	Vou passar aí mais tarde, tudo bem?
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
spam	Você ganhou 1 ano grátis de Netflix. Ative em: netflix-premium-gratis.com
ham	Você viu o jogo ontem? Foi emocionante demais!
ham	Boa noite, dorme bem 😴
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
spam	Você ganhou 1 ano grátis de Netflix. Ative em: netflix-premium-gratis.com
ham	a caminho.
spam	URGENTE: sua conta bancária será suspensa. Acesse agora: www.seguro123.com
ham	não vou atender telefone nenhum na verdade, a uma hora bem razoável, mas estou com sono
ham	meu aluguel está vencido e não tenho o suficiente para pagá-lo. minhas reservas acabaram completamente.
spam	Clique no link abaixo para atualizar sua senha do WhatsApp: www.seguranca-wa.com
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
