label	message
ham	não sei porra nenhuma sobre nada, senão eu diria/perguntaria algo útil, mas se você quiser, pode fingir que eu fiz e apenas me mandar uma mensagem com qualquer coisa em resposta à hipotética huagauahahuagahyuhagga
ham	não tenho certeza sobre o menu da noite. . .
ham	não sei.. ele está assistindo filme no computador..
ham	alguém que você conhece está secretamente a fim de você! quer descobrir quem é?
ham	1. infantil 2. travessa 3. sentimental 4. bagunceira 5. cheia de atitude 6. romântica 7. tímida 8. atraente 9. engraçada <#>. irritante <#>. amável.
ham	tudo bem..k, cuide-se chikku.. durma bem, boa noite
ham	bela verdade: a expressão do rosto pode ser vista por todos... mas a depressão do coração só pode ser entendida pelos entes queridos.. boa noite ;-)
spam	Escritório de advocacia: você deve R$ 8.500. Evite execução fiscal com pagamento imediato.
ham	faça o que for mais fácil para você
spam	Visão 100% em 7 dias! Sem óculos. Descubra: link.com/visao
ham	o darren me pediu para não cortar muito curto.
ham	te ligo mais tarde
ham	o jay já me contou, vou fazer
ham	ele continua sendo um irmão entre os irmãos
ham	exceto que tem uma garota com seios enormes.
ham	quanto você ganhou pela limpeza
ham	pense como nosso dinheiro é bloqueado por políticos ricos. temos todos os direitos contra políticos corruptos.
ham	motivação: por trás de toda escuridão, há uma luz brilhante esperando por você para encontrá-la... por trás de todo melhor amigo, há sempre confiança e amor... bjs
ham	sim.. gauti e sehwag fora da série de odi.
ham	seu tempo no celular já acabou?
spam	Seu celular foi sorteado para um prêmio. Ligue para: 0800-XXX-XXXX
ham	pela primeira vez na história, 'necessidade', 'conforto' e 'luxo' são vendidos pelo mesmo preço na índia..!!
ham	hmmm.. acho que com certeza dá tempo de passear... sim, podemos ir de graça... preciso te ligar para discutirmos...
spam	Claro informa: sua internet será cortada. Regularize urgente com seus dados bancários.
ham	ótimo!
ham	que horas vc quer hoje?
ham	ei!
ham	eu queria uma noite com você, sinto sua falta
ham	por favor, entregue para o <#>, ou eu pego na terça-feira à noite por volta das 20h, se estiver tudo bem.
ham	Acabei de chegar em casa, depois te ligo.
ham	você não deseja mais vir a mim por conta própria?
spam	Você tem um convite para um grupo VIP. Acesse: grupo.vip/convite
ham	então, o que você vai fazer para o jantar hoje à noite? estou convidado?
ham	ligue para 09094646899 agora! o maior serviço ao vivo e barato de chat do reino unido. vu bcm1896wc1n3xx
ham	esta é nossa segunda tentativa de entrar em contato com você! ligue para 0871-872-9758, caixa postal 95qu
ham	o tempo voa, estamos juntos há exatamente um mês hoje. espero que tenhamos muitos outros meses pela frente...
ham	boas palavras.... mas as palavras podem te deixar desanimado muitas vezes.
ham	nos ligue no 09065394514 do seu telefone fixo. datebox1282essexcm61xn 150p/min 18+
ham	devo te enviar fotos safadas? :)
spam	Empréstimo consignado com as melhores taxas. Saiba mais: link.com
ham	o gumby's tem uma promoção onde uma pizza de queijo de <#> custa R$2, então eu sei o que vamos fazer hoje à noite
spam	Diga adeus à calvície! Tratamento eficaz. Acesse: link.com/calvicie
ham	você pegou a história daquela pessoa
ham	você deveria ter me acordado >:(
ham	ligue gratuitamente para 0800 542 0578 agora!
ham	eu diria que é um bom sinal, mas, bem, você conhece meu histórico em ler mulheres
ham	desculpe, pa, não sei quem é você, pa?
ham	ok, como você está, querida. você ligou para a chechi
ham	eu te fiz uma pergunta algumas horas atrás. a resposta é
ham	sem maiô permitido :)
spam	Sua sorte grande chegou! Um prêmio espera por você. Veja: link.com
spam	Oportunidade única! Vagas abertas. Candidate-se: link.com/oport
ham	blz, tô de boa no quarto de um amigo, então me manda uma mensagem quando estiver a caminho
ham	não faço ideia de onde você está
ham	ok, faz sentido, a propósito, o carlos está sendo difícil, então vocês vão fumar enquanto eu vou pegar a segunda leva e abastecer
ham	se eu receber mais uma ligação, não vou cuidar das crianças na segunda-feira
ham	vou mandar uma mensagem para o carlos e te aviso, espere um pouco
ham	estou em casa. por favor, ligue
ham	responda com: 'ganhar' para 83355 agora! norcorp ltd. R$1,50/mensagem recebida. 18+
ham	nada, pa. normal.
ham	vai dar tudo certo
spam	Sua doação foi confirmada. Agradecemos seu apoio: doacao.solidaria/obrigado
ham	onde você está, minha bateria está fraca
ham	então verifique seus erros e se teve dificuldades, faça a correção.
spam	privado!
ham	feliz aniversário
ham	badrith é apenas para chennai :) com certeza vou escolhê-lo para nós :) sem concorrência para ele.
spam	Sua conta do Nubank foi bloqueada. Desbloqueie: nubank.seguranca/desbloquear
ham	os homens sempre precisam de uma esposa bonita, inteligente, carinhosa, amorosa, adaptável e cooperativa. mas a lei permite apenas uma esposa....
ham	não sei, ele só disse para ir ao lido.
ham	me mande uma mensagem quando sair, se for mais tarde, podemos nos encontrar em algum lugar.
spam	Durma como um bebê! Remédio natural. Peça agora: link.com/dormir
ham	todos os dias eu costumo dormir depois das <#>
ham	enquanto o mundo existir, nossa amizade nunca terminará. vamos ser amigos para sempre!!!
ham	não, mas estou indo para casa agora, depois vou abastecer... parece que vai chover em breve...
ham	sim, acho que meu fornecedor habitual ainda está desmaiado da noite passada, se você conseguir falar com alguém, me avise e eu ajudo
ham	ei, amor.
ham	tarde demais. eu disse que tenho o site.
ham	bjs
ham	sim, esse seria praticamente o melhor cenário possível
ham	vivemos nos próximos <#> minutos
spam	Invista R$ 200 e receba R$ 50.000 em 24 horas. Garantido!
ham	estou aqui
spam	Seu e-mail foi comprometido. Troque sua senha: email.com/comprometido
spam	ATUALIZE_AGORA - 12 meses de aluguel da linha Claro pela metade do preço: 400mins... ligue para atualizacelular em 0800-XXX-XXXX ou ligue para cancelar=j5q
ham	sério?
ham	ah sim, eu consigo falar por texto com você! hmm. você recebeu o e-mail?
ham	não tenho nenhum dos seus arquivos na minha bolsa.. eu estava no trabalho quando você me ligou. vou te dizer se encontrar alguma coisa no meu quarto.
ham	ah, oh... desperdício... então vou ter que me esforçar no sábado e domingo...
ham	te chamaram de idiota?
ham	às vezes o tempo nos faz esquecer de sorrir, e às vezes o sorriso de alguém nos faz esquecer o tempo. boa tarde
ham	tudo bem, liguei para a mãe, divirta-se
ham	envie parar para 62468
ham	não se preocupe, um dia um grande príncipe encantado virá... até lá, aproveite a festa de solteiro :-)
spam	serviços de sms. para seus créditos de texto inclusos, por favor, acesse www.comuk.net login= 3qxj9. cancele a inscrição com 'parar', sem custo adicional. ajuda 08702840625. comuk. 220-cm2 9ae
ham	bem, eu vou ser tia!
spam	Você tem uma nova mensagem de um perfil verificado. Veja: verificado.com/mensagem
ham	tudo bem, tomei a morfina. de volta ao seu.
spam	Recebemos sua solicitação de empréstimo. Para finalizar, acesse: financeiro.com/liberar
ham	qualquer coisa
spam	Receba um e-mail com novidades da sua loja favorita. Assine: loja.com/novidades
ham	que você possa sorrir como os raios de sol e deixar suas preocupações na baía azul.
ham	sim, não precisa. vou apenas esperar a chuva parar.
ham	por favor, junte-se a esta corrente e passe-a adiante. pare a violência contra as mulheres.
ham	gam foi eliminado após uma excelente entrada.
ham	quem sabe
spam	Warner Village: Veja Colin Farrell em S.W.A.T. neste fim de semana e ganhe 1 pipoca média grátis! Apenas mostre esta msg + ingresso no quiosque. Válido de 4 a 7/12. Responda SONY para mais ofertas de filmes.
ham	palavras dolorosas - eu achava que ser feliz era a coisa mais difícil do mundo... mas, o mais difícil é agir feliz com toda a dor não dita por dentro..
ham	ei, você está por aí?
ham	hm, bom dia, alguém com dor de cabeça?
ham	sério? tipo, a beijou de língua mesmo
ham	*suspiro profundo* ... sinto sua falta :-( ... estou realmente surpreso que você ainda não foi ao cybercafé para falar comigo... você não sente minha falta?
spam	o fantasy football está de volta na sua tv. vá para o sky gamestar no sky active e jogue o dream team de R$ 250k. a pontuação começa no sábado, então registre-se agora! sky, cancele para 88088
ham	esta é uma pergunta do ias, tente responder.
ham	não consigo encontrar ninguém que possa me dar uma carona para casa.
spam	converse com sensualidade!!
ham	sim, o trabalho está bom, comecei na semana passada, tudo a mesma coisa de antes, chato mas fácil e os caras são divertidos!
ham	qual esporte profissional tiger woods joga? envie 'parar' para 87239 para encerrar o serviço
ham	então, e a sua irmã?
spam	Seu imposto de renda está com pendências. Regularize: receita.com/ir
ham	oi, você gostou das fotos das férias? saí horrível nelas, então tirei mais! como está a coisa do acampamento américa?
ham	código do prêmio 2309.
ham	bom.
spam	Ganhe dinheiro online! Sem sair de casa. Clique: link.com/online
ham	é um laptop, leve com você.
spam	Seu dispositivo precisa de uma atualização de segurança. Instale: seguranca.com/update
ham	por favor, ligue para a embaixada ou envie um e-mail para eles.
ham	mas está me motivando, então obrigado por compartilhar
ham	só reze por mais ideias boas e qualquer coisa que eu veja que possa ajudar vocês, eu encaminho o link.
ham	muito bom :) dhanush arrasa mais uma vez :)
spam	Sua doação foi confirmada. Agradecemos seu apoio: doacao.com/confirmar
ham	parece que você tem muitos talentos!
spam	Receba um e-mail com as últimas notícias. Assine: noticias.com/email
ham	gosto de te enviar uma mensagem e te lembrar que estou pensando em você... e que você é amado... *beijo amoroso*
spam	Sua fatura de energia está atrasada. Evite corte: energia.pague/ja
